source_type,target_type,weight
Mi1,T4a,61295
Mi9,T4a,22697
Mi4,T4a,11931
Tm2,T4a,169
Tm1,T4a,63
Tm4,T4a,63
Tm9,T4a,10
Mi1,T4b,53790
Mi9,T4b,25496
Mi4,T4b,13201
Tm2,T4b,344
Tm4,T4b,109
Tm1,T4b,70
Tm9,T4b,13
Mi1,T4c,59300
Mi9,T4c,26589
Mi4,T4c,12389
Tm2,T4c,129
Tm4,T4c,119
Tm1,T4c,84
Tm9,T4c,7
Mi1,T4d,53761
Mi9,T4d,23414
Mi4,T4d,10586
Tm2,T4d,133
Tm4,T4d,100
Tm1,T4d,47
Tm9,T4d,3
Tm9,T5a,34485
Tm2,T5a,32240
Tm1,T5a,22730
Tm4,T5a,17901
Tm9,T5b,39215
Tm2,T5b,34166
Tm1,T5b,21443
Tm4,T5b,17105
Tm9,T5c,45317
Tm2,T5c,34627
Tm1,T5c,24413
Tm4,T5c,20656
Tm9,T5d,39109
Tm2,T5d,29164
Tm1,T5d,22802
Tm4,T5d,17770
